Date,Purchase/Sale,Country,Currency,Net,VAT
2020/3/4,sele,IT,CZK,110.19,16.53
2020/5/24,SALE,CZ,ZAR,430.07,51.61
2020/10/19,Purchase,IT,CZK,759.51,159.5
2020/12/4,SALE,PL,AED,209.75,35.66
2020/2/14,Purchase,CZ,PLN,289.79,40.57
2020/9/22,PURCHASE,AE,EUR,28.0,4.76
2020/4/14,sale,Great Britain,EUR,734.68,95.51
2020/11/20,Sale,CZ,USD,217.32,54.33
2020/7/5,purchase,IT,ZAR,727.49,152.77
2020/7/6,parchase,PL,PLN,523.61,68.07
2020/4/19,Purchase,PL,USD,723.59,166.43
2020/7/10,Sale,US,EUR,219.56,43.91
2020/2/6,Purchase,CZ,PLN,129.27,31.02
2020/1/1,Sale,AE,GBP,304.37,60.87
2020/2/13,PURCHASE,CZ,AED,676.74,128.58
2020/8/27,sele,Italy,GBP,125.57,18.84
2020/3/13,sale,US,AED,496.32,59.56
2020/1/16,parchase,Poland,GBP,316.46,79.11
2020/12/12,SALE,GB,USD,170.22,42.55
2020/4/15,parchase,Italy,GBP,386.58,96.64
2020/2/9,sele,Great Britain,CZK,581.58,69.79
2020/8/24,sele,CZ,AED,664.82,86.43
2020/6/26,Purchase,CZ,GBP,500.29,120.07
2020/3/14,sale,United States,PLN,737.56,110.63
2020/8/7,PURCHASE,Poland,ZAR,589.62,117.92
2020/8/19,Purchase,US,ZAR,723.67,173.68
2020/4/24,Sale,GB,EUR,352.83,56.45
2020/9/5,PURCHASE,PL,CZK,578.37,104.11
2020/12/27,sale,Italy,GBP,448.98,62.86
2020/8/17,parchase,GB,AED,316.18,37.94
2020/1/8,Sale,United States,CZK,492.29,103.38
2020/5/11,Sale,ZA,ZAR,128.35,28.24
2020/8/9,Sale,Poland,CZK,109.09,26.18
2020/4/17,purchase,AE,ZAR,461.46,55.38
2020/8/14,sele,GB,ZAR,365.33,65.76
2020/11/1,purchase,US,USD,330.02,82.5
2020/9/2,sele,ZA,USD,464.06,92.81
2020/5/18,purchase,ZA,GBP,283.14,33.98
2020/11/2,Purchase,US,PLN,62.6,10.02
2020/2/7,sale,ZA,EUR,40.67,6.1
2020/10/25,SALE,CZ,EUR,72.65,18.16
2020/10/14,Sale,United States,EUR,181.79,23.63
2020/1/12,purchase,GB,USD,239.01,31.07
2020/7/27,purchase,US,PLN,501.38,90.25
2020/4/5,Purchase,US,AED,64.4,9.66
2020/3/8,Sale,US,CZK,424.23,97.57
2020/4/23,sele,Italy,ZAR,265.8,34.55
2020/11/15,sale,GB,PLN,648.13,136.11
2020/8/24,PURCHASE,IT,EUR,785.88,180.75
2020/8/1,sale,Great Britain,USD,33.33,7.67
2020/3/9,purchase,Italy,CZK,324.34,77.84
2020/6/10,purchase,Great Britain,GBP,308.51,43.19
2020/11/11,PURCHASE,AE,EUR,29.82,3.58
2020/8/5,purchase,AE,ZAR,248.96,52.28
2020/6/3,sale,IT,CZK,559.4,123.07
2020/1/10,sele,CZ,USD,303.15,72.76
2020/4/17,purchase,IT,EUR,83.4,19.18
2020/8/20,Sale,Poland,USD,132.57,22.54
2020/1/18,Purchase,Poland,EUR,373.07,70.88
2020/7/18,Sale,CZ,ZAR,112.68,19.16
2020/8/12,Sale,ZA,USD,430.45,81.79
2020/1/25,PURCHASE,United States,PLN,403.19,76.61
2020/11/7,Purchase,PL,GBP,798.8,95.86
2020/5/14,sale,Italy,EUR,416.08,83.22
2020/9/26,purchase,PL,ZAR,358.74,78.92
2020/4/26,SALE,IT,PLN,533.23,111.98
2020/11/12,parchase,Poland,GBP,568.96,125.17
2020/8/28,sele,Italy,EUR,414.1,86.96
2020/8/19,PURCHASE,Great Britain,ZAR,221.33,42.05
2020/2/21,Sale,AE,EUR,734.54,168.94
2020/8/4,sele,ZA,ZAR,256.43,41.03
2020/1/28,sale,AE,CZK,52.73,9.49
2020/4/21,sale,GB,ZAR,393.26,98.31
2020/1/9,Purchase,ZA,GBP,484.23,106.53
2020/8/8,sale,PL,USD,156.69,25.07
2020/5/16,sale,GB,AED,708.11,141.62
2020/10/25,sale,PL,EUR,248.34,39.73
2020/4/17,purchase,GB,AED,557.82,83.67
2020/9/2,sele,Italy,AED,308.83,37.06
2020/5/28,sele,ZA,AED,71.26,12.11
2020/7/25,Sale,Poland,ZAR,417.73,75.19
2020/10/14,sele,ZA,PLN,384.62,96.16
2020/9/4,PURCHASE,United States,GBP,379.97,68.39
2020/6/8,PURCHASE,IT,USD,608.63,121.73
2020/9/24,SALE,Great Britain,EUR,622.21,105.78
2020/7/25,Sale,United States,CZK,106.93,21.39
2020/1/29,Sale,US,AED,406.8,97.63
2020/10/28,Sale,US,AED,398.33,75.68
2020/12/24,SALE,PL,PLN,226.2,45.24
2020/4/17,Sale,CZ,EUR,627.54,125.51
2020/3/2,Sale,AE,GBP,604.66,90.7
2020/5/11,PURCHASE,IT,EUR,106.5,22.36
2020/9/9,purchase,Italy,GBP,783.32,133.16
2020/8/4,Purchase,US,USD,804.34,201.09
2020/4/29,sele,US,EUR,758.94,98.66
2020/2/21,SALE,AE,PLN,583.61,140.07
2020/6/8,sele,PL,CZK,782.02,93.84
2020/10/26,PURCHASE,US,GBP,90.79,21.79
2020/11/15,purchase,IT,PLN,15.28,3.06
2020/5/2,SALE,GB,ZAR,167.29,33.46
2020/2/16,sale,Italy,GBP,94.74,15.16
2020/12/3,PURCHASE,Italy,GBP,395.12,51.37
2020/11/12,purchase,ZA,EUR,519.59,88.33
2020/1/28,Sale,ZA,CZK,725.71,159.66
2020/12/1,parchase,AE,EUR,579.31,110.07
2020/2/13,parchase,GB,AED,442.74,101.83
2020/10/12,SALE,CZ,PLN,92.94,18.59
2020/2/13,Sale,ZA,CZK,262.25,60.32
2020/11/9,Sale,Poland,GBP,201.07,34.18
2020/5/7,Sale,United States,USD,103.07,14.43
2020/10/12,sale,Italy,GBP,11.49,1.38
2020/10/9,SALE,ZA,PLN,211.16,42.23
2020/8/5,Sale,Italy,PLN,681.77,149.99
2020/10/15,Sale,GB,PLN,194.09,48.52
2020/5/11,sale,US,ZAR,496.2,94.28
2020/6/14,parchase,IT,ZAR,691.4,117.54
2020/2/13,Purchase,AE,GBP,751.02,142.69
2020/6/10,Sale,CZ,AED,724.0,159.28
2020/3/14,sale,GB,CZK,751.26,97.66
2020/9/4,Sale,GB,GBP,264.5,60.84
2020/1/27,parchase,Poland,EUR,72.64,10.9
2020/6/9,sale,AE,EUR,85.48,11.11
2020/10/5,PURCHASE,GB,USD,773.38,100.54
2020/4/16,sale,GB,USD,779.49,163.69
2020/12/15,purchase,GB,AED,109.2,15.29
2020/4/27,parchase,GB,CZK,40.24,7.24
2020/2/5,sale,US,CZK,743.75,89.25
2020/5/11,PURCHASE,US,EUR,701.52,119.26
2020/8/11,SALE,CZ,USD,363.3,58.13
2020/6/18,Sale,IT,AED,230.11,27.61
2020/5/28,sale,AE,USD,180.04,43.21
2020/2/27,SALE,GB,USD,11.8,2.36
2020/10/27,Purchase,Great Britain,CZK,145.4,34.9
2020/12/14,PURCHASE,IT,PLN,8.36,1.17
2020/10/6,sale,Poland,GBP,527.2,73.81
2020/7/18,sele,CZ,GBP,324.12,68.07
2020/6/28,sele,CZ,EUR,195.76,48.94
2020/7/22,Sale,IT,PLN,534.3,74.8
2020/8/27,sele,IT,GBP,774.27,116.14
2020/6/16,Sale,Poland,PLN,684.03,88.92
2020/11/15,purchase,Poland,AED,722.23,180.56
2020/1/15,sele,Italy,GBP,736.32,125.17
2020/11/12,Purchase,IT,PLN,8.72,1.4
2020/12/24,purchase,Poland,GBP,768.68,169.11
2020/1/6,parchase,US,USD,10.19,1.22
2020/8/23,Sale,United States,GBP,426.35,102.32
2020/12/3,Purchase,Italy,GBP,765.27,168.36
2020/9/14,sele,CZ,GBP,779.93,155.99
2020/6/4,parchase,ZA,CZK,338.55,57.55
2020/6/21,SALE,US,AED,343.04,58.32
2020/7/21,purchase,Poland,GBP,710.12,156.23
2020/4/28,Sale,PL,USD,571.79,142.95
2020/10/14,SALE,United States,USD,193.27,42.52
2020/10/8,SALE,ZA,EUR,67.78,14.23
2020/4/21,purchase,Poland,ZAR,230.85,30.01
2020/5/23,Sale,Italy,EUR,155.11,27.92
2020/4/13,Sale,IT,ZAR,56.37,11.84
2020/1/20,Purchase,AE,GBP,491.46,98.29
2020/5/21,Sale,PL,AED,370.34,62.96
2020/10/17,Sale,Italy,PLN,775.83,108.62
2020/11/22,Purchase,Poland,CZK,583.01,116.6
2020/2/1,Sale,AE,PLN,462.77,106.44
2020/7/13,Purchase,US,PLN,235.21,37.63
2020/5/28,parchase,Italy,GBP,18.94,3.79
2020/3/11,Purchase,Italy,PLN,803.44,168.72
2020/5/5,purchase,ZA,AED,795.51,143.19
2020/2/23,Purchase,Poland,ZAR,274.53,60.4
2020/9/12,sale,Poland,USD,306.77,49.08
2020/5/11,sale,ZA,EUR,108.74,19.57
2020/4/17,sale,United States,EUR,248.83,37.32
2020/9/20,purchase,Great Britain,USD,364.05,61.89
2020/6/21,PURCHASE,United States,CZK,322.8,54.88
2020/6/2,SALE,Great Britain,ZAR,608.41,152.1
2020/10/12,PURCHASE,GB,GBP,323.06,51.69
2020/1/17,SALE,IT,GBP,572.13,97.26
2020/8/24,Purchase,ZA,CZK,395.44,47.45
2020/5/3,Sale,AE,ZAR,58.39,12.26
2020/1/6,Sale,Great Britain,PLN,650.58,91.08
2020/4/11,sele,US,USD,464.38,102.16
2020/8/28,parchase,CZ,AED,786.99,94.44
2020/10/17,sele,United States,USD,120.77,21.74
2020/4/5,PURCHASE,Poland,GBP,252.41,37.86
2020/9/2,SALE,PL,GBP,736.62,139.96
2020/2/26,purchase,Poland,EUR,622.13,111.98
2020/8/9,PURCHASE,AE,EUR,754.2,158.38
2020/2/18,sale,Poland,GBP,641.99,134.82
2020/11/28,Purchase,US,ZAR,234.83,28.18
2020/11/4,parchase,US,AED,183.34,38.5
2020/3/13,PURCHASE,Great Britain,USD,398.72,59.81
2020/6/26,PURCHASE,IT,ZAR,438.25,78.88
2020/9/14,purchase,Great Britain,EUR,48.84,9.77
2020/7/23,sele,ZA,EUR,632.79,101.25
2020/6/23,sale,AE,GBP,441.35,75.03
2020/8/28,sale,United States,PLN,782.42,148.66
2020/11/27,SALE,Italy,PLN,728.07,152.89
2020/3/22,sale,Italy,GBP,384.94,80.84
2020/8/7,SALE,ZA,EUR,523.47,68.05
2020/1/28,purchase,United States,CZK,240.02,33.6
2020/5/11,sele,CZ,CZK,318.41,76.42
2020/12/25,SALE,GB,GBP,530.39,106.08
2020/4/15,purchase,AE,USD,183.5,38.53
2020/7/7,Sale,US,PLN,139.81,23.77
2020/11/17,PURCHASE,US,GBP,126.09,27.74
2020/7/21,SALE,GB,AED,672.6,100.89
2020/8/1,Purchase,Italy,EUR,679.19,108.67
2020/3/15,SALE,United States,CZK,699.22,139.84
2020/11/24,SALE,Poland,AED,295.85,41.42
2020/3/9,sale,Italy,GBP,497.67,64.7
2020/6/24,sele,United States,EUR,681.86,88.64
2020/6/19,purchase,US,EUR,765.07,114.76
2020/9/19,sele,Great Britain,AED,330.83,66.17
2020/6/22,purchase,GB,USD,229.3,41.27
2020/12/4,Purchase,GB,EUR,395.78,47.49
2020/11/19,SALE,Great Britain,PLN,452.9,67.93
2020/7/13,sale,GB,GBP,207.19,47.65
2020/5/6,Purchase,IT,CZK,339.12,61.04
2020/10/8,Sale,Great Britain,GBP,656.52,118.17
2020/5/7,sele,US,GBP,415.26,91.36
2020/11/9,purchase,CZ,EUR,99.3,11.92
2020/5/20,purchase,Poland,GBP,36.84,6.26
2020/1/7,PURCHASE,IT,EUR,362.57,43.51
2020/8/22,PURCHASE,CZ,ZAR,713.02,128.34
2020/10/17,sale,ZA,USD,262.09,62.9
2020/12/15,SALE,ZA,ZAR,704.62,147.97
2020/10/23,Sale,Poland,EUR,239.67,55.12
2020/6/6,Sale,Italy,AED,775.96,147.43
2020/9/23,sele,Great Britain,ZAR,528.29,132.07
2020/12/12,parchase,ZA,EUR,667.85,86.82
2020/8/14,PURCHASE,PL,AED,68.04,13.61
2020/9/12,PURCHASE,US,CZK,529.94,105.99
2020/2/2,sale,Poland,ZAR,38.64,7.73
2020/12/15,Purchase,IT,USD,490.2,63.73
2020/5/24,sale,IT,CZK,782.6,140.87
2020/1/4,SALE,US,ZAR,239.51,43.11
2020/10/19,Purchase,United States,PLN,537.62,69.89
2020/1/26,sele,IT,GBP,543.51,70.66
2020/12/3,SALE,ZA,EUR,570.39,114.08
2020/10/24,PURCHASE,Italy,AED,752.28,180.55
2020/2/16,Purchase,ZA,ZAR,503.06,70.43
2020/10/23,sele,ZA,USD,127.85,28.13
2020/4/22,PURCHASE,ZA,PLN,157.76,26.82
2020/12/4,PURCHASE,ZA,CZK,81.82,20.45
2020/6/8,parchase,ZA,AED,109.16,26.2
2020/11/21,SALE,CZ,GBP,681.38,115.83
2020/11/19,PURCHASE,PL,EUR,345.17,82.84
2020/2/23,sale,United States,EUR,149.69,17.96
2020/7/3,Sale,ZA,CZK,682.39,129.65
2020/9/11,Purchase,AE,AED,237.32,45.09
2020/11/6,SALE,Poland,EUR,184.28,40.54
2020/8/13,parchase,Italy,USD,422.86,88.8
2020/5/19,Purchase,Great Britain,AED,474.76,99.7
2020/8/24,Purchase,US,CZK,230.15,29.92
2020/10/17,sele,US,GBP,290.21,55.14
2020/8/8,Sale,CZ,ZAR,805.89,128.94
2020/3/7,sale,CZ,AED,628.77,113.18
2020/10/8,PURCHASE,PL,PLN,748.1,104.73
2020/9/12,purchase,GB,GBP,400.15,92.03
2020/1/29,Sale,Italy,PLN,341.75,44.43
2020/12/8,PURCHASE,CZ,AED,164.82,36.26
2020/9/18,sele,Poland,AED,265.05,47.71
2020/2/8,sale,GB,ZAR,415.35,87.22
2020/3/18,purchase,IT,AED,279.43,44.71
2020/5/18,parchase,US,USD,182.62,21.91
2020/10/8,purchase,CZ,CZK,434.43,56.48
2020/7/6,PURCHASE,GB,CZK,86.86,13.03
2020/5/11,Purchase,IT,PLN,117.31,22.29
2020/6/25,SALE,ZA,PLN,701.21,140.24
2020/5/22,sale,Great Britain,PLN,663.43,119.42
2020/1/2,sale,Italy,USD,176.56,42.37
2020/2/22,Purchase,United States,PLN,160.13,40.03
2020/5/29,sele,ZA,AED,687.97,130.71
2020/1/17,parchase,US,GBP,61.34,7.36
2020/10/10,Purchase,Poland,PLN,342.91,61.72
2020/7/6,Sale,ZA,EUR,505.53,106.16
2020/9/13,sale,AE,GBP,177.0,30.09
2020/12/24,purchase,ZA,EUR,60.44,14.51
2020/12/23,PURCHASE,CZ,USD,301.53,51.26
2020/6/15,Purchase,CZ,AED,389.46,85.68
2020/6/29,purchase,AE,EUR,706.28,113.0
2020/9/21,SALE,United States,ZAR,132.12,29.07
2020/8/1,Purchase,Great Britain,EUR,608.67,115.65
2020/12/6,purchase,Poland,PLN,544.1,114.26
2020/5/17,sale,IT,USD,586.06,87.91
2020/4/13,sale,CZ,EUR,336.05,67.21
2020/3/19,sale,AE,PLN,66.94,9.37
2020/12/15,sele,Poland,ZAR,210.07,50.42
2020/7/8,parchase,AE,AED,676.14,155.51
2020/6/11,Sale,PL,USD,603.09,144.74
2020/11/7,sale,GB,AED,91.38,14.62
2020/12/22,parchase,ZA,ZAR,339.53,50.93
2020/10/19,sele,PL,ZAR,782.67,164.36
2020/2/21,PURCHASE,PL,PLN,497.43,114.41
2020/6/11,sele,Italy,USD,381.87,49.64
2020/4/28,PURCHASE,Poland,AED,548.93,104.3
2020/1/28,Sale,Poland,AED,134.33,18.81
2020/10/2,SALE,IT,USD,374.46,82.38
2020/3/21,sele,PL,CZK,137.65,34.41
2020/4/13,PURCHASE,Poland,CZK,459.44,68.92
2020/5/1,SALE,PL,EUR,704.7,98.66
2020/4/22,sale,AE,CZK,776.96,194.24
2020/2/18,purchase,GB,EUR,410.33,69.76
2020/1/27,purchase,GB,USD,792.75,182.33
2020/1/22,sale,Poland,EUR,155.43,21.76
2020/1/17,purchase,United States,USD,779.13,194.78
2020/1/11,Sale,CZ,PLN,239.79,38.37
2020/10/20,sele,US,GBP,249.12,32.39
2020/1/7,sele,US,CZK,26.03,3.38
2020/8/6,Purchase,IT,AED,770.54,154.11
2020/6/12,sale,US,ZAR,196.34,49.09
2020/7/27,parchase,PL,GBP,435.49,87.1
2020/12/5,SALE,Poland,EUR,786.72,180.95
2020/7/9,parchase,ZA,USD,239.28,38.28
2020/3/12,Purchase,PL,USD,545.78,125.53
2020/1/18,sale,United States,CZK,352.2,42.26
2020/9/25,SALE,CZ,GBP,8.21,1.07
2020/10/18,purchase,GB,PLN,578.12,144.53
2020/4/3,SALE,Poland,EUR,168.89,23.64
2020/12/28,SALE,PL,ZAR,713.29,99.86
2020/12/17,SALE,ZA,CZK,153.29,27.59
2020/6/13,PURCHASE,Great Britain,EUR,112.58,19.14
2020/10/16,Sale,United States,ZAR,338.73,67.75
2020/9/25,Sale,Italy,PLN,638.87,102.22
2020/10/16,sele,IT,PLN,297.69,56.56
2020/6/15,SALE,United States,CZK,323.93,38.87
2020/11/10,SALE,Poland,AED,579.4,115.88
2020/11/1,Purchase,ZA,AED,175.18,24.53
2020/3/14,PURCHASE,IT,AED,413.7,70.33
2020/12/4,SALE,Italy,ZAR,22.64,4.98
2020/7/9,sale,IT,AED,443.12,75.33
2020/10/19,Sale,IT,AED,223.26,37.95
2020/4/5,sele,GB,CZK,12.04,2.65
2020/2/21,SALE,GB,GBP,532.16,79.82
2020/12/17,sele,AE,AED,611.05,91.66
2020/8/15,sale,Great Britain,GBP,222.62,53.43
2020/2/14,Purchase,US,USD,652.69,117.48
2020/10/4,purchase,CZ,EUR,134.36,29.56
2020/10/17,SALE,Italy,CZK,82.06,18.87
2020/11/14,parchase,PL,CZK,634.42,152.26
2020/12/27,sale,CZ,GBP,690.63,165.75
2020/8/17,purchase,AE,AED,349.95,52.49
2020/6/10,SALE,Poland,PLN,175.29,35.06
2020/12/13,Purchase,United States,USD,741.68,118.67
2020/2/4,Purchase,AE,EUR,411.31,86.38
2020/2/14,Sale,Poland,PLN,537.3,128.95
2020/5/27,PURCHASE,Italy,USD,725.22,94.28
2020/4/9,PURCHASE,Poland,ZAR,278.27,55.65
2020/10/23,purchase,GB,EUR,11.35,2.61
2020/7/21,sale,United States,AED,339.0,81.36
2020/3/14,PURCHASE,AE,EUR,178.36,42.81
2020/5/8,SALE,AE,PLN,56.05,12.33
2020/6/20,SALE,ZA,AED,602.88,132.63
2020/11/11,purchase,US,PLN,226.21,54.29
2020/1/2,SALE,United States,USD,19.83,2.38
2020/7/22,purchase,CZ,GBP,46.27,10.18
2020/2/9,Sale,ZA,PLN,44.39,7.55
2020/8/10,sele,PL,EUR,348.49,73.18
2020/8/4,sale,United States,ZAR,535.68,96.42
2020/6/5,PURCHASE,US,AED,632.78,75.93
2020/10/28,Purchase,IT,PLN,512.81,97.43
2020/1/10,purchase,Poland,EUR,192.47,34.64
2020/5/3,parchase,United States,USD,601.1,126.23
2020/2/21,Sale,US,EUR,168.61,33.72
2020/1/2,parchase,US,GBP,475.46,71.32
2020/4/17,Purchase,Italy,USD,667.11,153.44
2020/10/16,purchase,ZA,PLN,391.36,46.96
2020/11/8,purchase,PL,GBP,393.32,55.06
2020/4/22,SALE,United States,EUR,574.26,97.62
2020/11/11,sele,CZ,USD,573.39,103.21
2020/12/13,PURCHASE,Poland,AED,555.99,116.76
2020/8/21,Purchase,AE,GBP,607.77,145.86
2020/8/5,SALE,AE,EUR,337.74,43.91
2020/10/27,purchase,Poland,AED,511.59,102.32
2020/6/3,purchase,AE,AED,364.66,51.05
2020/1/11,Sale,Great Britain,GBP,503.83,105.8
2020/10/20,parchase,AE,GBP,494.03,103.75
2020/7/21,sele,ZA,USD,498.02,94.62
2020/5/15,purchase,Italy,AED,287.5,46.0
2020/5/14,sale,ZA,USD,310.77,68.37
2020/1/1,sele,Great Britain,PLN,191.04,40.12
2020/1/20,Purchase,CZ,ZAR,453.0,104.19
2020/2/20,purchase,Italy,EUR,111.77,22.35
2020/6/15,Purchase,ZA,GBP,64.54,14.2
2020/8/23,sale,GB,PLN,234.74,56.34
2020/7/14,purchase,Great Britain,AED,459.13,73.46
2020/2/27,sale,Great Britain,USD,246.84,34.56
2020/4/6,sele,Italy,AED,499.51,59.94
2020/11/17,sale,Great Britain,CZK,784.51,141.21
2020/2/10,sele,Great Britain,AED,759.72,121.56
2020/10/3,PURCHASE,Poland,GBP,665.34,133.07
2020/6/29,Purchase,IT,AED,808.97,153.7
2020/6/14,parchase,IT,GBP,553.53,77.49
2020/2/8,sele,Poland,EUR,118.79,19.01
2020/4/5,SALE,Poland,EUR,601.87,90.28
2020/5/22,sele,CZ,PLN,560.34,123.27
2020/1/14,parchase,Great Britain,EUR,798.52,151.72
2020/1/19,SALE,GB,ZAR,348.84,62.79
2020/10/12,SALE,Great Britain,ZAR,242.43,36.36
2020/11/17,parchase,United States,EUR,218.99,39.42
2020/5/6,sale,Great Britain,AED,485.73,116.58
2020/12/11,parchase,CZ,EUR,342.32,85.58
2020/9/28,SALE,ZA,CZK,328.86,82.22
2020/1/18,parchase,PL,GBP,631.65,75.8
2020/8/7,Sale,United States,USD,162.58,21.14
2020/6/4,Sale,Poland,EUR,433.37,78.01
2020/10/27,SALE,United States,AED,328.99,55.93
2020/4/12,SALE,GB,AED,187.48,24.37
2020/7/17,Purchase,Poland,GBP,339.33,57.69
2020/3/3,purchase,IT,GBP,726.08,94.39
2020/8/21,sale,US,AED,584.9,70.19
2020/9/28,purchase,Great Britain,AED,137.3,30.21
2020/4/11,purchase,AE,GBP,555.44,138.86
2020/9/25,sale,ZA,CZK,577.08,98.1
2020/3/13,SALE,IT,AED,363.68,80.01
2020/5/7,PURCHASE,Great Britain,PLN,24.19,3.39
2020/7/26,sale,Italy,GBP,109.84,27.46
2020/7/21,sele,United States,CZK,628.93,113.21
2020/11/24,sale,GB,EUR,186.05,40.93
2020/8/21,Purchase,US,EUR,660.75,85.9
2020/1/22,PURCHASE,CZ,USD,559.92,139.98
2020/5/23,SALE,US,AED,109.66,13.16
2020/3/12,Purchase,United States,ZAR,349.2,69.84
2020/4/20,purchase,GB,ZAR,58.51,8.78
2020/8/7,parchase,US,CZK,399.26,47.91
2020/5/11,sale,IT,EUR,357.37,78.62
2020/1/12,purchase,IT,AED,371.83,63.21
2020/7/5,sale,Great Britain,EUR,277.84,55.57
2020/5/19,sele,PL,USD,86.17,10.34
2020/3/1,SALE,CZ,EUR,99.15,18.84
2020/3/26,Purchase,AE,AED,192.27,25.0
2020/9/25,SALE,CZ,ZAR,14.35,3.16
2020/9/10,PURCHASE,IT,AED,24.71,4.2
2020/12/11,PURCHASE,AE,AED,238.64,31.02
2020/6/11,SALE,Poland,USD,652.3,110.89
2020/8/28,sale,IT,PLN,650.74,143.16
2020/8/29,Purchase,Great Britain,GBP,605.33,78.69
2020/5/2,parchase,US,USD,627.9,119.3
2020/6/12,PURCHASE,AE,GBP,186.34,40.99
2020/1/8,purchase,ZA,ZAR,348.32,52.25
2020/2/28,Sale,CZ,PLN,698.06,146.59
2020/10/24,SALE,AE,ZAR,534.07,80.11
2020/3/18,PURCHASE,IT,USD,808.92,202.23
2020/7/28,parchase,AE,PLN,708.52,177.13
2020/6/28,Sale,AE,CZK,123.13,30.78
2020/3/18,purchase,United States,ZAR,93.72,12.18
2020/3/6,Sale,Great Britain,AED,73.31,15.4
2020/10/21,PURCHASE,AE,CZK,218.59,39.35
2020/9/3,PURCHASE,Italy,PLN,162.61,19.51
2020/9/15,SALE,IT,GBP,310.73,62.15
2020/8/10,Purchase,Great Britain,USD,688.42,151.45
2020/3/25,Purchase,United States,ZAR,638.19,121.26
2020/11/21,sale,US,AED,230.45,36.87
2020/10/14,Purchase,IT,GBP,291.93,72.98
2020/11/2020,sale,Italy,AED,82.55,14.03
2020/10/15,Sale,IT,EUR,168.98,35.49
2020/1/3,sele,Poland,CZK,259.02,38.85
2020/1/23,Sale,GB,AED,367.52,69.83
2020/3/22,purchase,GB,AED,697.02,111.52
2020/4/19,parchase,PL,USD,662.37,86.11
2020/5/4,PURCHASE,ZA,USD,191.74,30.68
2020/6/5,Sale,United States,EUR,35.01,5.6
2020/9/5,sele,ZA,GBP,193.98,25.22
2020/1/27,SALE,ZA,USD,740.69,88.88
2020/9/23,PURCHASE,GB,EUR,121.34,27.91
2020/7/27,SALE,US,ZAR,584.64,134.47
2020/8/22,PURCHASE,Italy,CZK,269.41,53.88
2020/9/8,PURCHASE,AE,USD,386.32,84.99
2020/1/6,Sale,United States,GBP,668.21,133.64
2020/7/17,Sale,US,USD,713.87,128.5
2020/5/19,Purchase,ZA,GBP,214.39,40.73
2020/7/27,PURCHASE,ZA,EUR,718.69,107.8
2020/10/6,Sale,Italy,PLN,308.37,37.0
2020/7/16,PURCHASE,CZ,PLN,766.72,168.68
2020/5/14,parchase,CZ,CZK,114.97,25.29
2020/10/26,sale,Great Britain,AED,417.27,91.8
2020/4/13,PURCHASE,GB,AED,558.94,89.43
2020/3/3,parchase,PL,AED,539.67,97.14
